battle,month,year,decade,century,city,country,war,war.theater,lon,lat,gadm.adm0,gadm.adm1,gadm.adm2,source,source.page
Lingen,NA,1597,1590,1500,Lingen,Germany,Eighty Years' War,Netherlands War of Independence,7.323279,52.52306,Germany,Niedersachsen,Weser-Ems,Israel (1997),30
Oldenzaal,NA,1597,1590,1500,Oldenzaal,Netherlands,Eighty Years' War,Netherlands War of Independence,6.9268283,52.3116551,Netherlands,Overijssel,Oldenzaal,Israel (1997),30
Nieuport (Nieuwpoort),July,1600,1600,1600,Nieuwpoort,Belgium,Eighty Years' War,Netherlands War of Independence,2.7480158,51.1284823,Belgium,Wallonie,West-Vlaanderen,Jaques (2007),730
Ostend,July,1601,1600,1600,Ostend,Belgium,Eighty Years' War,Netherlands War of Independence,2.928656,51.21543,Belgium,Wallonie,West-Vlaanderen,Jaques (2007),760
Narrow Seas,September,1602,1600,1600,Dunkirk,France,Eighty Years' War,Netherlands War of Independence,2.3767763,51.0343684,France,Nord-Pas-de-Calais,Nord,Jaques (2007),714
Geneva,NA,1602,1600,1600,Geneva,Switzerland,Swiss Religious Wars,NA,6.1422961,46.1983922,Switzerland,Geneve,Geneve,Jaques (2007),388
Sluys (Sluis),May,1603,1600,1600,Sluis,Netherlands,Eighty Years' War,Netherlands War of Independence,3.3879195,51.3086558,Netherlands,Zeeland,Sluis,Jaques (2007),952
Sluys (Sluis),NA,1604,1600,1600,Sluis,Netherlands,Eighty Years' War,Netherlands War of Independence,3.3879195,51.3086558,Netherlands,Zeeland,Sluis,Jaques (2007),952
Lingen,August,1605,1600,1600,Lingen,Germany,Eighty Years' War,Netherlands War of Independence,7.323279,52.52306,Germany,Niedersachsen,Weser-Ems,Israel (1997),31
Mulheim,October,1605,1600,1600,Mulheim,Germany,Eighty Years' War,Netherlands War of Independence,6.8845226,51.4185682,Germany,Nordrhein-Westfalen,Dusseldorf,Jaques (2007),696
Bredevoort,NA,1606,1600,1600,Bredevoort,Netherlands,Eighty Years' War,Netherlands War of Independence,6.6184985,51.9421422,Netherlands,Gelderland,Aalten,Israel (1997),31
Cape St. Vincent,NA,1606,1600,1600,Cape St. Vincent,Portugal,Eighty Years' War,Netherlands War of Independence,-8.9964565,37.0230468,Portugal,Faro,Vila do Bispo,Jaques (2007),198
Grol (Groenlo),NA,1606,1600,1600,Groenlo,Netherlands,Eighty Years' War,Netherlands War of Independence,6.6113711,52.0419627,Netherlands,Gelderland,Groenlo,Israel (1997),31
Rheinberg,NA,1606,1600,1600,Rheinberg,Germany,Eighty Years' War,Netherlands War of Independence,6.5899097,51.5460798,Germany,Nordrhein-Westfalen,Dusseldorf,Israel (1997),31
Gibraltar,April,1607,1600,1600,Gibraltar,Spain,Eighty Years' War,Netherlands War of Independence,-5.353585,36.140751,Gibraltar,NA,NA,Jaques (2007),393
Julich,NA,1609,1600,1600,Julich,Germany,Thirty Years' War,NA,6.3639119,50.9224226,Germany,Nordrhein-Westfalen,Koln,Wilson (2009),232
Aachen,August,1614,1610,1600,Aachen,Germany,Eighty Years' War,Netherlands War of Independence,6.0838868,50.7753455,Germany,Nordrhein-Westfalen,Koln,Israel (1997),32
Pilsen,November,1618,1610,1600,Pilsen,Czech Republic,Thirty Years' War,Bohemian War,13.373637,49.738431,Czech Republic,Plzensky,Plzen,Jaques (2007),797
Sablat (Zablati),June,1619,1610,1600,Budejovice,Czech Republic,Thirty Years' War,Bohemian War,14.480255,48.975658,Czech Republic,Jihocesky,Ceske Budejovice,Jaques (2007),873
Vienna,June,1619,1610,1600,Vienna,Austria,Thirty Years' War,NA,16.3738189,48.2081743,Austria,Wien,Wien,Wilson (2009),280
Bruck an der Leitha,November,1619,1610,1600,Bruck an der Leitha,Austria,Thirty Years' War,NA,16.77534,48.02375,Austria,Niederosterreich,Bruck an der Leitha,Wilson (2009),291
Kreuznach,August,1620,1620,1600,Kreuznach,Germany,Thirty Years' War,NA,12.795201,52.9345045,Germany,Brandenburg,Brandenburg,Wilson (2009),300
Bautzen,October,1620,1620,1600,Bautzen,Germany,Thirty Years' War,NA,14.4237749,51.182293,Germany,Sachsen,Dresden,Wilson (2009),301
White Mountain (Prague),November,1620,1620,1600,Prague,Czech Republic,Thirty Years' War,Bohemian War,14.4378005,50.0755381,Czech Republic,Prague,Praha 1,Jaques (2007),1102
Waidhaus,May,1621,1620,1600,Waidhaus,Germany,Thirty Years' War,NA,12.4962639,49.6417301,Germany,Bayern,Oberpfalz,Wilson (2009),332
Saint-Jean-d'Angely,June,1621,1620,1600,Saint-Jean-d'Angely,France,French Wars of Religion,First Huguenot Rebellion,-0.517763,45.944823,France,Poitou-Charentes,Charente-Maritime,Jaques (2007),880
Montauban,August,1621,1620,1600,Montauban,France,French Wars of Religion,First Huguenot Rebellion,1.3529599,44.0221252,France,Midi-Pyrenees,Tarn-et-Garonne,Jaques (2007),678
Julich,September,1621,1620,1600,Julich,Germany,Thirty Years' War,NA,6.3639119,50.9224226,Germany,Nordrhein-Westfalen,Koln,Wilson (2009),331
Frankenthal,NA,1621,1620,1600,Frankenthal,Germany,Thirty Years' War,NA,8.35,49.533333,Germany,Rheinland-Pfalz,Rheinhessen-Pfalz,Wilson (2009),333
Glatz,March,1622,1620,1600,Klodzko,Poland,Thirty Years' War,NA,16.6613941,50.4345636,Poland,Lower Silesian,Klodzko,Wilson (2009),325
Ile de Re,April,1622,1620,1600,La Rochelle,France,French Wars of Religion,NA,-1.151139,46.160329,France,Poitou-Charentes,Charente-Maritime,Holt (2005),186
Wiesloch,April,1622,1620,1600,Wiesloch,Germany,Thirty Years' War,Palatinate War,8.6962064,49.2953714,Germany,Baden-Wurttemberg,Karlsruhe,Jaques (2007),1104
Wimpfen,May,1622,1620,1600,Wimpfen,Germany,Thirty Years' War,Palatinate War,9.1575,49.23007,Germany,Baden-Wurttemberg,Stuttgart,Jaques (2007),1106
Hochst,June,1622,1620,1600,Hochst,Germany,Thirty Years' War,Palatinate War,8.9950307,49.8007957,Germany,Hessen,Darmstadt,Jaques (2007),451
Lorsch,June,1622,1620,1600,Lorsch,Germany,Thirty Years' War,NA,8.5650614,49.6510898,Germany,Hessen,Darmstadt,Wilson (2009),337
Fleurus,August,1622,1620,1600,Fleurus,Belgium,Thirty Years' War,Palatinate War,4.5511869,50.4822605,Belgium,Wallonie,Hainaut,Jaques (2007),355
Montpellier,August,1622,1620,1600,Montpellier,France,French Wars of Religion,NA,3.876716,43.610769,France,Languedoc-Roussillon,Herault,Holt (2005),187
Heidelberg,September,1622,1620,1600,Heidelberg,Germany,Thirty Years' War,Palatinate War,8.6724335,49.3987524,Germany,Baden-Wurttemberg,Karlsruhe,Jaques (2007),440
Mannheim,November,1622,1620,1600,Mannheim,Germany,Thirty Years' War,Palatinate War,8.4660395,49.4874592,Germany,Baden-Wurttemberg,Karlsruhe,Jaques (2007),629
Bergen-op-Zoom,NA,1622,1620,1600,Bergen op Zoom,Netherlands,Eighty Years' War,Netherlands War of Independence,4.2871622,51.4945758,Netherlands,Noord-Brabant,Bergen op Zoom,Israel (1997),36
Goch,NA,1622,1620,1600,Goch,Germany,Eighty Years' War,Netherlands War of Independence,6.1565522,51.679984,Germany,Nordrhein-Westfalen,Dusseldorf,Israel (1997),36
Stadtlohn,August,1623,1620,1600,Stadtlohn,Germany,Thirty Years' War,Palatinate War,6.9137972,51.9920909,Germany,Nordrhein-Westfalen,Munster,Jaques (2007),966
Goding,September,1623,1620,1600,Hodonin,Czech Republic,Thirty Years' War,NA,17.1260024,48.8529391,Czech Republic,Jihomoravsky,Hodonin,Wilson (2009),346
Breda,August,1624,1620,1600,Breda,Netherlands,Eighty Years' War,Netherlands War of Independence,4.7769505,51.58307,Netherlands,Noord-Brabant,Breda,Jaques (2007),161
La Rochelle,September,1625,1620,1600,La Rochelle,France,French Wars of Religion,Second Huguenot Rebellion,-1.151139,46.160329,France,Poitou-Charentes,Charente-Maritime,Jaques (2007),572
Dessau,April,1626,1620,1600,Dessau-Rosslau,Germany,Thirty Years' War,Saxon-Danish War,12.24245,51.82224,Germany,Sachsen-Anhalt,Dessau,Jaques (2007),299
Linz,May,1626,1620,1600,Linz,Austria,Thirty Years' War,NA,14.28583,48.30694,Austria,Oberosterreich,Linz,Wilson (2009),412
Peuerbach,May,1626,1620,1600,Peuerbach,Austria,Thirty Years' War,NA,13.7708033,48.3447243,Austria,Oberosterreich,Grieskirchen,Wilson (2009),412
Rossing,July,1626,1620,1600,Rossing,Germany,Thirty Years' War,NA,9.813056,52.183889,Germany,Niedersachsen,Hannover,Wilson (2009),414
Lutter am Barenberg,August,1626,1620,1600,Lutter am Barenberge,Germany,Thirty Years' War,Saxon-Danish War,10.2678979,51.9893213,Germany,Niedersachsen,Braunschweig,Jaques (2007),607
Grol (Groenlo),July,1627,1620,1600,Groenlo,Netherlands,Eighty Years' War,Netherlands War of Independence,6.6113711,52.0419627,Netherlands,Gelderland,Groenlo,Jaques (2007),411
Ile de Re,July,1627,1620,1600,La Rochelle,France,French Wars of Religion,Third Huguenot Rebellion,-1.151139,46.160329,France,Poitou-Charentes,Charente-Maritime,Jaques (2007),467
La Rochelle,August,1627,1620,1600,La Rochelle,France,French Wars of Religion,Third Huguenot Rebellion,-1.151139,46.160329,France,Poitou-Charentes,Charente-Maritime,Jaques (2007),572
Heiligenhafen,September,1627,1620,1600,Heiligenhafen,Germany,Thirty Years' War,NA,10.97561,54.3696799,Germany,Schleswig-Holstein,Schleswig-Holstein,Wilson (2009),420
Gluckstadt,November,1627,1620,1600,Gluckstadt,Germany,Thirty Years' War,NA,9.4260898,53.7911914,Germany,Schleswig-Holstein,Schleswig-Holstein,Wilson (2009),420
Casale,March,1628,1620,1600,Casale Monferrato,Italy,Thirty Years' War,Mantuan War,8.450503,45.1316088,Italy,Piemonte,Alessandria,Jaques (2007),207
Stralsund,May,1628,1620,1600,Stralsund,Germany,Thirty Years' War,Saxon-Danish War,13.0770347,54.3090654,Germany,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Jaques (2007),973
Wolgast,September,1628,1620,1600,Wolgast,Germany,Thirty Years' War,Saxon-Danish War,13.7665592,54.0496018,Germany,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Jaques (2007),1110
Hertogenbosch,May,1629,1620,1600,s-Hertogenbosch,Netherlands,Eighty Years' War,Netherlands War of Independence,5.3036748,51.6978162,Netherlands,Noord-Brabant,'s-Hertogenbosch,Jaques (2007),447
Wesel,August,1629,1620,1600,Wesel,Germany,Eighty Years' War,Netherlands War of Independence,6.6295679,51.6643079,Germany,Nordrhein-Westfalen,Dusseldorf,Jaques (2007),1099
Mantua,October,1629,1620,1600,Mantua,Italy,Thirty Years' War,Mantuan War,10.7913751,45.1564168,Italy,Lombardia,Mantua,Jaques (2007),631
Villabuona,May,1630,1630,1600,Villabuona,Italy,Thirty Years' War,NA,9.9181521,45.355516,Italy,Lombardia,Brescia,Wilson (2009),444
Avigliana,July,1630,1630,1600,Avigliana,Italy,Thirty Years' War,Mantuan War,7.4016896,45.076291,Italy,Piemonte,Torino,Jaques (2007),85
Magdeburg,November,1630,1630,1600,Magdeburg,Germany,Thirty Years' War,Swedish War,11.6276237,52.1205333,Germany,Sachsen-Anhalt,Magdeburg,Jaques (2007),615
Neubrandenburg,February,1631,1630,1600,Neubrandenburg,Germany,Thirty Years' War,Swedish War,13.2779269,53.5678292,Germany,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Jaques (2007),722
Frankfurt an der Oder,April,1631,1630,1600,Frankfurt an der Oder,Germany,Thirty Years' War,Swedish War,14.5505673,52.3472237,Germany,Brandenburg,Brandenburg,Jaques (2007),371
Werben,July,1631,1630,1600,Werben,Germany,Thirty Years' War,Swedish War,14.1872086,51.8131059,Germany,Brandenburg,Brandenburg,Jaques (2007),1099
Breitenfeld,September,1631,1630,1600,Leipzig,Germany,Thirty Years' War,Swedish War,12.37307,51.3397,Germany,Sachsen,Leipzig,Jaques (2007),161
Slaak,September,1631,1630,1600,Tholen,Netherlands,Eighty Years' War,Netherlands War of Independence,4.2162383,51.5332946,Netherlands,Zeeland,Tholen,Jaques (2007),951
Wurzburg,October,1631,1630,1600,Wurzburg,Germany,Thirty Years' War,NA,9.9533548,49.7913044,Germany,Bayern,Unterfranken,Wilson (2009),477
Bamberg,February,1632,1630,1600,Bamberg,Germany,Thirty Years' War,NA,10.9027636,49.8988135,Germany,Bayern,Oberfranken,Wilson (2009),497
Rain (Lech),April,1632,1630,1600,Rain,Germany,Thirty Years' War,Swedish War,10.9208893,48.6901541,Germany,Bayern,Schwaben,Jaques (2007),837
Ingolstadt,May,1632,1630,1600,Ingolstadt,Germany,Thirty Years' War,NA,11.4257541,48.7665351,Germany,Bayern,Oberbayern,Wilson (2009),500
Maastricht,June,1632,1630,1600,Maastricht,Netherlands,Eighty Years' War,Netherlands War of Independence,5.6909725,50.8513682,Netherlands,Limburg,Maastricht,Jaques (2007),611
Alte Veste,August,1632,1630,1600,Alte Veste,Germany,Thirty Years' War,Swedish War,10.972363,49.454322,Germany,Bayern,Mittelfranken,Jaques (2007),41
Steinau,August,1632,1630,1600,Steinau an der stasse,Germany,Thirty Years' War,NA,9.4512418,50.3166763,Germany,Hessen,Darmstadt,Wilson (2009),502
Lutzen,November,1632,1630,1600,Lutzen,Germany,Thirty Years' War,Swedish War,12.1417687,51.2558562,Germany,Sachsen-Anhalt,Halle,Jaques (2007),607
Augsburg,NA,1632,1630,1600,Augsburg,Germany,Thirty Years' War,NA,10.89779,48.3705449,Germany,Bayern,Schwaben,Wilson (2009),481
Hessich-Oldendorf,July,1633,1630,1600,Hessisch Oldendorf,Germany,Thirty Years' War,Swedish War,9.2459403,52.1715493,Germany,Niedersachsen,Hannover,Jaques (2007),448
Pfaffenhofen,August,1633,1630,1600,Pfaffenhofen,Germany,Thirty Years' War,NA,11.4977392,48.5325215,Germany,Bayern,Oberbayern,Wilson (2009),521
Steinau,October,1633,1630,1600,Steinau an der stasse,Germany,Thirty Years' War,Swedish War,9.4512418,50.3166763,Germany,Hessen,Darmstadt,Jaques (2007),969
Regensburg,November,1633,1630,1600,Regensberg,Germany,Thirty Years' War,NA,12.1016236,49.0134297,Germany,Bayern,Oberpfalz,Wilson (2009),532
Ebersberg,January,1634,1630,1600,Ebersberg,Germany,Thirty Years' War,NA,11.9669667,48.0780006,Germany,Bayern,Oberbayern,Wilson (2009),533
Liegnitz,May,1634,1630,1600,Legnica,Poland,Thirty Years' War,NA,16.1553231,51.2070067,Poland,Lower Silesian,Legnica,Wilson (2009),544
Regensburg,May,1634,1630,1600,Regensberg,Germany,Thirty Years' War,Swedish War,12.1016236,49.0134297,Germany,Bayern,Oberpfalz,Jaques (2007),847
Landshut,July,1634,1630,1600,Landshut,Germany,Thirty Years' War,Swedish War,12.1468532,48.5441917,Germany,Bayern,Niederbayern,Jaques (2007),567
Nordlingen,September,1634,1630,1600,Nordlingen,Germany,Thirty Years' War,Swedish War,10.4894906,48.8508157,Germany,Bayern,Schwaben,Jaques (2007),737
Brema,March,1635,1630,1600,Brema,Italy,Thirty Years' War,Franco-Habsburg War,8.6304529,45.1330057,Italy,Lombardia,Pavia,Jaques (2007),162
Avein,May,1635,1630,1600,Wasseiges,Belgium,Thirty Years' War,Franco-Habsburg War,5.00162,50.61754,Belgium,Wallonie,Liege,Jaques (2007),85
Leuven (Louvain),June,1635,1630,1600,Leuven,Belgium,Eighty Years' War,Netherlands War of Independence,4.7,50.883333,Belgium,Vlaanderen,Vlaams Brabant,Israel (1997),69
Corbie,July,1635,1630,1600,Corbie,France,Thirty Years' War,Franco-Habsburg War,2.511947,49.907676,France,Picardie,Somme,Jaques (2007),261
Mainz,July,1635,1630,1600,Mainz,Germany,Thirty Years' War,Franco-Habsburg War,8.2472526,49.9928617,Germany,Rheinland-Pfalz,Rheinhessen-Pfalz,Jaques (2007),617
Saint Jean de Losne,August,1635,1630,1600,Saint-Jean-de-Losne,France,Thirty Years' War,Franco-Habsburg War,5.262806,47.102266,France,Bourgogne,Cote-d'Or,Jaques (2007),880
Boulay,September,1635,1630,1600,Boulay-Moselle,France,Thirty Years' War,Franco-Habsburg War,6.4981099,49.184543,France,Lorraine,Moselle,Jaques (2007),157
Domitz,November,1635,1630,1600,Domitz,Germany,Thirty Years' War,Franco-Habsburg War,11.2699357,53.1358097,Germany,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Jaques (2007),308
Goldberg,December,1635,1630,1600,Goldberg,Germany,Thirty Years' War,Franco-Habsburg War,12.0857297,53.5900958,Germany,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Jaques (2007),401
Kyritz,December,1635,1630,1600,Kyritz,Germany,Thirty Years' War,Franco-Habsburg War,12.3961712,52.9432288,Germany,Brandenburg,Brandenburg,Jaques (2007),556
Hanau,Autumn,1635,1630,1600,Hanau,Germany,Thirty Years' War,Franco-Habsburg War,8.9283105,50.1264123,Germany,Hessen,Darmstadt,Jaques (2007),430
Tornavento,June,1636,1630,1600,Tornavento,Italy,Thirty Years' War,Franco-Habsburg War,8.7097632,45.5813483,Italy,Lombardia,Varese,Jaques (2007),1027
Breda,July,1636,1630,1600,Breda,Netherlands,Eighty Years' War,Netherlands War of Independence,4.7769505,51.58307,Netherlands,Noord-Brabant,Breda,Jaques (2007),161
Wittstock,September,1636,1630,1600,Wittstock,Germany,Thirty Years' War,Franco-Habsburg War,12.485556,53.163611,Germany,Brandenburg,Brandenburg,Jaques (2007),1109
Monte Baldo,September,1637,1630,1600,Monte Baldo,Italy,Thirty Years' War,Franco-Habsburg War,10.7730519,45.5670961,Italy,Veneto,Verona,Jaques (2007),678
Rheinberg,October,1637,1630,1600,Rheinberg,Germany,Eighty Years' War,Netherlands War of Independence,6.5899097,51.5460798,Germany,Nordrhein-Westfalen,Dusseldorf,Israel (1997),81
Rheinfelden,February,1638,1630,1600,Rheinfelden,Germany,Thirty Years' War,Franco-Habsburg War,7.791667,47.561111,Germany,Baden-Wurttemberg,Freiburg,Jaques (2007),851
Kallo,May,1638,1630,1600,Antwerp,Belgium,Thirty Years' War,NA,4.4024643,51.2194475,Belgium,Vlaanderen,Antwerpen,Wilson (2009),661
Saint-Omer,May,1638,1630,1600,Saint-Omer,France,Thirty Years' War,NA,2.252208,50.750115,France,Nord-Pas-de-Calais,Pas-de-Calais,Wilson (2009),661
Wittenweier,July,1638,1630,1600,Wittenweier,Germany,Thirty Years' War,Franco-Habsburg War,7.761365,48.328779,Germany,Baden-Wurttemberg,Freiburg,Jaques (2007),1109
Breisach,August,1638,1630,1600,Brieisach,Germany,Thirty Years' War,Franco-Habsburg War,7.5836067,48.0348382,Germany,Baden-Wurttemberg,Freiburg,Jaques (2007),161
Sennheim,October,1638,1630,1600,Cernay,France,Thirty Years' War,Franco-Habsburg War,7.176532,47.807124,France,Alsace,Haut-Rhin,Jaques (2007),926
Vlotho,October,1638,1630,1600,Vlotho,Germany,Thirty Years' War,Franco-Habsburg War,8.8560945,52.1605973,Germany,Nordrhein-Westfalen,Detmold,Jaques (2007),1083
Fuenterrabia,NA,1638,1630,1600,Fuenterrabia,Spain,Thirty Years' War,Franco-Habsburg War,-1.8001488,43.3708434,Spain,Pais Vasco,Guipuzcoa,Jaques (2007),376
St. Omer ,NA,1638,1630,1600,Saint-Omer,France,Eighty Years' War,Netherlands War of Independence,2.252208,50.750115,France,Nord-Pas-de-Calais,Pas-de-Calais,Israel (1997),83
Chemnitz,April,1639,1630,1600,Chemnitz,Germany,Thirty Years' War,Franco-Habsburg War,12.9213697,50.827845,Germany,Sachsen,Chemnitz,Jaques (2007),233
Brandeis,May,1639,1630,1600,Brandys nad Labem-Stara Boleslav,Czech Republic,Thirty Years' War,Franco-Habsburg War,14.6592444,50.1863259,Czech Republic,Stredocesky,Praha - vychod,Jaques (2007),159
Melnik,May,1639,1630,1600,Melnik,Czech Republic,Thirty Years' War,NA,14.481781,50.353902,Czech Republic,Stredocesky,Melnik,Wilson (2009),614
Turriff,May,1639,1630,1600,Turiff,Scotland,British Wars of Religion,Scottish Civil War,-2.4623,57.538932,United Kingdom,Scotland,Aberdeenshire,Royle (2004),91
Dee,June,1639,1630,1600,Aberdeen,Scotland,British Wars of Religion,First Bishops' War,-2.094278,57.149717,United Kingdom,Scotland,Aberdeen,Jaques (2007),293
Megray Hill,June,1639,1630,1600,Stonehaven,Scotland,British Wars of Religion,First Bishops' War,-2.209288,56.963661,United Kingdom,Scotland,Aberdeenshire,Jaques (2007),650
Thionville,June,1639,1630,1600,Thionville,France,Thirty Years' War,Franco-Habsburg War,6.168426,49.357571,France,Lorraine,Moselle,Jaques (2007),1013
Salces,July,1639,1630,1600,Les Salces,France,Thirty Years' War,NA,3.162048,44.534143,France,Languedoc-Roussillon,Lozere,Wilson (2009),652
Downs,October,1639,1630,1600,The Downs,England,Eighty Years' War,Netherlands War of Independence,0.4097467,51.899764,United Kingdom,England,Essex,Jaques (2007),313
Chieri,November,1639,1630,1600,Chieri,Italy,Thirty Years' War,Franco-Habsburg War,7.8275551,45.008885,Italy,Piemonte,Torino,Jaques (2007),237
Thann,Early,1639,1630,1600,Thann,France,Thirty Years' War,NA,7.102382,47.810702,France,Alsace,Haut-Rhin,Wilson (2009),611
Casale,April,1640,1640,1600,Casale Monferrato,Italy,Thirty Years' War,Franco-Habsburg War,8.450503,45.1316088,Italy,Piemonte,Alessandria,Jaques (2007),207
Plauen,April,1640,1640,1600,Plauen,Germany,Thirty Years' War,NA,12.1368679,50.4976133,Germany,Sachsen,Chemnitz,Wilson (2009),619
Turnin,July,1640,1640,1600,Turin,Italy,Thirty Years' War,Franco-Habsburg War,7.6868565,45.070312,Italy,Piemonte,Torino,Jaques (2007),1045
Newburn,August,1640,1640,1600,Newburn,England,British Wars of Religion,Second Bishops' War,-1.7425365,54.9842861,United Kingdom,England,Tyne and Wear,Jaques (2007),724
Montjuic,January,1641,1640,1600,Barcelona,Spain,Thirty Years' War,NA,2.173404,41.38506,Spain,Cataluna,Barcelona,Wilson (2009),654
Wolfenbuttel,June,1641,1640,1600,Wolfenbuttel,Germany,Thirty Years' War,Franco-Habsburg War,10.5408484,52.1640413,Germany,Niedersachsen,Braunschweig,Jaques (2007),1110
La Marfee,July,1641,1640,1600,Sedan,France,Thirty Years' War,Franco-Habsburg War,4.93863,49.70349,France,Champagne-Ardenne,Ardennes,Jaques (2007),565
Drogheda,November,1641,1640,1600,Drogheda,Ireland,British Wars of Religion,Irish Confederate Wars,-6.3560985,53.717856,Ireland,Louth,NA,Royle (2004),138
Julianstown,November,1641,1640,1600,Julianstown,Ireland,British Wars of Religion,Irish Confederate Wars,-6.285651,53.6729374,Ireland,Meath,NA,Siochrú (1999),31
Kempen,January,1642,1640,1600,Kempen,Germany,Thirty Years' War,Franco-Habsburg War,6.4205309,51.3649942,Germany,Nordrhein-Westfalen,Dusseldorf,Jaques (2007),518
Kilrush,April,1642,1640,1600,Kilrush,Ireland,British Wars of Religion,Irish Confederate Wars,-9.4859374,52.6406999,Ireland,Clare,NA,Royle (2004),145
Honnecourt,May,1642,1640,1600,Honnecourt-sur-Escaut,France,Thirty Years' War,NA,3.199481,50.038278,France,Nord-Pas-de-Calais,Nord,Wilson (2009),665
Newry,May,1642,1640,1600,Newry,Northern Ireland,British Wars of Religion,Irish Confederate Wars,-6.3402299,54.1751024,United Kingdom,Northern Ireland,Newry and Mourne,Royle (2004),142
Barcelona,June,1642,1640,1600,Barcelona,Spain,Thirty Years' War,Franco-Habsburg War,2.173404,41.38506,Spain,Cataluna,Barcelona,Jaques (2007),107
Olmutz,June,1642,1640,1600,Olomouc,Czech Republic,Thirty Years' War,Franco-Habsburg War,17.2508787,49.593778,Czech Republic,Olomoucky,Olomouc,Jaques (2007),751
Schweidnitz,June,1642,1640,1600,Swidnica,Poland,Thirty Years' War,Franco-Habsburg War,16.475679,50.849843,Poland,Lower Silesian,Swidnica,Jaques (2007),920
Powick Bridge,September,1642,1640,1600,Worcester,England,British Wars of Religion,English Civil War,-2.221575,52.193636,United Kingdom,England,Worcestershire,Jaques (2007),816
Edgehill,October,1642,1640,1600,Edgehill,England,British Wars of Religion,English Civil War,-1.453197,52.113518,United Kingdom,England,Warwickshire,Jaques (2007),326
Bandon,November,1642,1640,1600,Bandon,Ireland,British Wars of Religion,Irish Confederate Wars,-8.7318174,51.746124,Ireland,Cork,NA,Siochrú (1999),31
Breitenfeld,November,1642,1640,1600,Leipzig,Germany,Thirty Years' War,Franco-Habsburg War,12.37307,51.3397,Germany,Sachsen,Leipzig,Jaques (2007),162
Brentford,November,1642,1640,1600,Brentford,England,British Wars of Religion,English Civil War,-0.3101169,51.486073,United Kingdom,England,Hounslow,Jaques (2007),162
Turnham Green,November,1642,1640,1600,Chiswick,England,British Wars of Religion,English Civil War,-0.2671732,51.4876272,United Kingdom,England,Hounslow,Jaques (2007),1045
Tadcaster,December,1642,1640,1600,Tadcaster,England,British Wars of Religion,English Civil War,-1.260889,53.883551,United Kingdom,England,North Yorkshire,Jaques (2007),987
