battle,month,year,decade,century,city,country,war,war.theater,lon,lat,gadm.adm0,gadm.adm1,gadm.adm2,source,source.page
Cork,NA,1642,1640,1600,Cork,Ireland,British Wars of Religion,Irish Confederate Wars,-8.4863157,51.8968917,Ireland,Cork,NA,Siochrú (1999),31
Lisburn,NA,1642,1640,1600,Lisburn,Northern Ireland,British Wars of Religion,Irish Confederate Wars,-6.0580106,54.516246,United Kingdom,Northern Ireland,Lisburn,Siochrú (1999),31
Rathlin Island,NA,1642,1640,1600,Rathlin Island,Northern Ireland,British Wars of Religion,Irish Confederate Wars,-6.20728,55.297949,United Kingdom,Northern Ireland,Antrim,Royle (2004),xvii
Braddock Down,January,1643,1640,1600,Cornwall,England,British Wars of Religion,English Civil War,-4.6524982,50.5036299,United Kingdom,England,Cornwall,Jaques (2007),159
Highnam,March,1643,1640,1600,Highnam,England,British Wars of Religion,English Civil War,-2.297121,51.876149,United Kingdom,England,Gloucestershire,Jaques (2007),448
Hopton Heath,March,1643,1640,1600,Hopton Heath,England,British Wars of Religion,English Civil War,-2.910584,52.391041,United Kingdom,England,Shropshire,Jaques (2007),455
Old Ross,March,1643,1640,1600,Old Ross,Ireland,British Wars of Religion,Irish Confederate Wars,-6.82663,52.39195,Ireland,Wexford,NA,Siochrú (1999),31
Seacroft Moor,March,1643,1640,1600,Leeds,England,British Wars of Religion,English Civil War,-1.5490774,53.8007554,United Kingdom,England,West Yorkshire,Jaques (2007),922
Launceston,April,1643,1640,1600,Launceston,England,British Wars of Religion,English Civil War,-4.358558,50.640134,United Kingdom,England,Cornwall,Jaques (2007),575
Reading,April,1643,1640,1600,Reading,England,British Wars of Religion,English Civil War,-0.9781303,51.4542645,United Kingdom,England,Berkshire,Jaques (2007),845
Ripple Field,April,1643,1640,1600,Tewkesbury,England,British Wars of Religion,English Civil War,-2.15796,51.992265,United Kingdom,England,Gloucestershire,Jaques (2007),857
Sourton Down,April,1643,1640,1600,Sourton,England,British Wars of Religion,English Civil War,-4.078756,50.691741,United Kingdom,England,Devon,Jaques (2007),962
Grantham,May,1643,1640,1600,Grantham,England,British Wars of Religion,English Civil War,-0.643582,52.912524,United Kingdom,England,Lincolnshire,Jaques (2007),407
Rocroi,May,1643,1640,1600,Rocroi,France,Thirty Years' War,Franco-Habsburg War,4.519757,49.925149,France,Champagne-Ardenne,Ardennes,Jaques (2007),860
Stratton,May,1643,1640,1600,Stratton,England,British Wars of Religion,English Civil War,-4.514386,50.8306929,United Kingdom,England,Cornwall,Jaques (2007),974
Wakefield,May,1643,1640,1600,Wakefield,England,British Wars of Religion,English Civil War,-1.505924,53.683298,United Kingdom,England,West Yorkshire,Jaques (2007),1090
Adwalton Moor,June,1643,1640,1600,Adwalton,England,British Wars of Religion,English Civil War,-1.6545698,53.7513517,United Kingdom,England,West Yorkshire,Jaques (2007),13
Chalgrove Field,June,1643,1640,1600,Chalgrove,England,British Wars of Religion,English Civil War,-1.078599,51.666818,United Kingdom,England,Oxfordshire,Jaques (2007),220
Thionville,June,1643,1640,1600,Thionville,France,Thirty Years' War,Franco-Habsburg War,6.168426,49.357571,France,Lorraine,Moselle,Jaques (2007),1013
Bristol,July,1643,1640,1600,Bristol,England,British Wars of Religion,English Civil War,-2.58791,51.454513,United Kingdom,England,Bristol,Jaques (2007),166
Gainsborough,July,1643,1640,1600,Gainsborough,England,British Wars of Religion,English Civil War,-0.774465,53.400575,United Kingdom,England,Lincolnshire,Jaques (2007),379
Lansdown,July,1643,1640,1600,Landsdown Hill,England,British Wars of Religion,English Civil War,-1.2628913,52.902673,United Kingdom,England,Derbyshire,Jaques (2007),569
Roundway Down,July,1643,1640,1600,Devizes,England,British Wars of Religion,English Civil War,-1.994828,51.3489069,United Kingdom,England,Wiltshire,Jaques (2007),866
Rowde Ford,July,1643,1640,1600,Rowde,England,British Wars of Religion,English Civil War,-2.034098,51.362539,United Kingdom,England,Wiltshire,Jaques (2007),867
Gloucester,August,1643,1640,1600,Gloucester,England,British Wars of Religion,English Civil War,-2.238156,51.8642449,United Kingdom,England,Gloucestershire,Jaques (2007),398
Sierck,August,1643,1640,1600,Sierck-les-Bains,France,Thirty Years' War,Franco-Habsburg War,6.361008,49.442631,France,Lorraine,Moselle,Jaques (2007),942
Aldbourne Chase,September,1643,1640,1600,Aldbourne,England,British Wars of Religion,English Civil War,-1.62053,51.479233,United Kingdom,England,Wiltshire,Royle (2004),271
Cabo de Gata,September,1643,1640,1600,Cabo de Gata,Spain,Thirty Years' War,Franco-Habsburg War,-2.2422484,36.7817465,Spain,Andalucia,Almeria,Jaques (2007),179
Hull,September,1643,1640,1600,Cottingham,England,British Wars of Religion,English Civil War,-0.413978,53.782081,United Kingdom,England,East Riding of Yorkshire,Royle (2004),273
Newbury,September,1643,1640,1600,Newbury,England,British Wars of Religion,English Civil War,-1.3231139,51.401409,United Kingdom,England,Berkshire,Jaques (2007),724
Winceby,October,1643,1640,1600,Winceby,England,British Wars of Religion,English Civil War,-0.018447,53.195482,United Kingdom,England,Lincolnshire,Jaques (2007),1106
Basing House,November,1643,1640,1600,Basingstoke,England,British Wars of Religion,English Civil War,-1.0923964,51.26654,United Kingdom,England,Hampshire,Jaques (2007),112
Rottweil,November,1643,1640,1600,Rottweil,Germany,Thirty Years' War,Franco-Habsburg War,8.6316219,48.1610687,Germany,Baden-Wurttemberg,Freiburg,Jaques (2007),865
Tuttlingen,November,1643,1640,1600,Tuttlingen,Germany,Thirty Years' War,Franco-Habsburg War,8.8192095,47.9823316,Germany,Baden-Wurttemberg,Freiburg,Jaques (2007),1046
Alton,December,1643,1640,1600,Alton,England,British Wars of Religion,English Civil War,-0.973177,51.150719,United Kingdom,England,Hampshire,Jaques (2007),41
Arundel,December,1643,1640,1600,Arundel,England,British Wars of Religion,English Civil War,-0.555119,50.855171,United Kingdom,England,West Sussex,Jaques (2007),73
Piercebridge,December,1643,1640,1600,Piercebridge,England,British Wars of Religion,English Civil War,-1.677401,54.53683,United Kingdom,England,Darlington,Jaques (2007),796
Fermoy,NA,1643,1640,1600,Fermoy,Ireland,British Wars of Religion,Irish Confederate Wars,-8.2755611,52.1393605,Ireland,Cork,NA,Siochrú (1999),31
Nantwich,January,1644,1640,1600,Nantwich,England,British Wars of Religion,English Civil War,-2.524102,53.067185,United Kingdom,England,Cheshire,Jaques (2007),712
Latham,February,1644,1640,1600,Latham,England,British Wars of Religion,English Civil War,0.290851,51.287227,United Kingdom,England,Kent,Jaques (2007),574
Alresford (Cheriton),March,1644,1640,1600,Cheriton,England,British Wars of Religion,English Civil War,-1.1708223,51.0539153,United Kingdom,England,Hampshire,Jaques (2007),39
Hilton,March,1644,1640,1600,Hilton,England,British Wars of Religion,English Civil War,-1.637,52.871,United Kingdom,England,Derbyshire,Royle (2004),283
Newark,March,1644,1640,1600,Newark on Trent,England,British Wars of Religion,English Civil War,-0.81,53.0765,United Kingdom,England,Nottingham,Jaques (2007),724
Selby,April,1644,1640,1600,Selby,England,British Wars of Religion,English Civil War,-1.067189,53.783524,United Kingdom,England,North Yorkshire,Jaques (2007),924
York,April,1644,1640,1600,York,England,British Wars of Religion,English Civil War,-1.0872979,53.9599651,United Kingdom,England,York,Jaques (2007),1123
Bolton,May,1644,1640,1600,Bolton,England,British Wars of Religion,English Civil War,-2.4282192,53.5768647,United Kingdom,England,Manchester,Jaques (2007),151
Gravelines,May,1644,1640,1600,Gravelines,France,Thirty Years' War,Franco-Habsburg War,2.125537,50.98707,France,Nord-Pas-de-Calais,Nord,Jaques (2007),408
Lister Deep (Listerdyb),May,1644,1640,1600,Sonderby,Denmark,Thirty Years' War,NA,8.500691,55.05508,Denmark,South Jutland,Skarbak,Wilson (2009),688
Cropredy Bridge,June,1644,1640,1600,Banbury,England,British Wars of Religion,English Civil War,-1.339775,52.0629009,United Kingdom,England,Oxfordshire,Jaques (2007),273
Kolberg Heath (Kolberger Heide),July,1644,1640,1600,Fehmarn,Germany,Thirty Years' War,Franco-Habsburg War,11.1337406,54.4600619,Germany,Schleswig-Holstein,Schleswig-Holstein,Jaques (2007),538
Marston Moor,July,1644,1640,1600,Long Marston,England,British Wars of Religion,English Civil War,-1.778136,52.134166,United Kingdom,England,Warwickshire,Jaques (2007),638
Sas van Gent,July,1644,1640,1600,Sas Van Gent,Netherlands,Eighty Years' War,Netherlands War of Independence,3.7999937,51.2276878,Netherlands,Zeeland,Terneuzen,Jaques (2007),915
Taunton,July,1644,1640,1600,Taunton,England,British Wars of Religion,English Civil War,-3.106849,51.015344,United Kingdom,England,Somerset,Jaques (2007),1001
Beacon Hill,August,1644,1640,1600,Lostwithiel,England,British Wars of Religion,English Civil War,-4.6750679,50.406021,United Kingdom,England,Cornwall,Jaques (2007),119
Freiburg,August,1644,1640,1600,Freiburg,Germany,Thirty Years' War,Franco-Habsburg War,7.8421043,47.9990077,Germany,Baden-Wurttemberg,Freiburg,Jaques (2007),373
Lostwithiel,August,1644,1640,1600,Lostwithiel,England,British Wars of Religion,English Civil War,-4.6750679,50.406021,United Kingdom,England,Cornwall,Jaques (2007),601
Aberdeen,September,1644,1640,1600,Aberdeen,Scotland,British Wars of Religion,Scottish Civil War,-2.094278,57.149717,United Kingdom,Scotland,Aberdeen,Jaques (2007),3
Tippermuir,September,1644,1640,1600,Perth,Scotland,British Wars of Religion,Scottish Civil War,-3.430838,56.394994,United Kingdom,Scotland,Perthshire and Kinross,Jaques (2007),1019
Fyvie,October,1644,1640,1600,Fyvie,Scotland,British Wars of Religion,Scottish Civil War,-2.3889999,57.429806,United Kingdom,Scotland,Aberdeenshire,Jaques (2007),378
Laugharne,October,1644,1640,1600,Laugharne,Wales,British Wars of Religion,English Civil War,-4.464252,51.769203,United Kingdom,Wales,Carmarthenshire,Jaques (2007),574
Lolland,October,1644,1640,1600,Lolland,Denmark,Thirty Years' War,Franco-Habsburg War,11.46493,54.727543,Denmark,Storstrom,Nysted,Jaques (2007),596
Newbury,October,1644,1640,1600,Newbury,England,British Wars of Religion,English Civil War,-1.3231139,51.401409,United Kingdom,England,Berkshire,Jaques (2007),724
Juterbog,November,1644,1640,1600,Juterbog,Germany,Thirty Years' War,Franco-Habsburg War,13.0756312,51.9964734,Germany,Brandenburg,Brandenburg,Jaques (2007),498
Inveraray,December,1644,1640,1600,Inveraray,Scotland,British Wars of Religion,Scottish Civil War,-5.0771018,56.2309517,United Kingdom,Scotland,Argyll and Bute,Jaques (2007),472
Lerida,NA,1644,1640,1600,Lleida,Spain,Thirty Years' War,Franco-Habsburg War,0.6200146,41.6175899,Spain,Cataluna,Lleida,Jaques (2007),581
Duncannon,January,1645,1640,1600,Duncannon,Ireland,British Wars of Religion,Irish Confederate Wars,-6.9316371,52.2255552,Ireland,Wexford,NA,Siochrú (1999),31
Inverlochy,February,1645,1640,1600,Inverlochy,Scotland,British Wars of Religion,Scottish Civil War,-5.094977,56.825724,United Kingdom,Scotland,Highland,Jaques (2007),473
Jankau,March,1645,1640,1600,Jankov,Czech Republic,Thirty Years' War,Franco-Habsburg War,14.730747,49.652939,Czech Republic,Stredocesky,Benesov,Jaques (2007),486
Lyme,April,1645,1640,1600,Lyme Regis,England,British Wars of Religion,English Civil War,-2.936639,50.725156,United Kingdom,England,Dorset,Jaques (2007),609
Auldearn,May,1645,1640,1600,Auldearn,Scotland,British Wars of Religion,Scottish Civil War,-3.801675,57.576161,United Kingdom,Scotland,Highland,Jaques (2007),83
Leicester,May,1645,1640,1600,Leicester,England,British Wars of Religion,English Civil War,-1.1397592,52.6368778,United Kingdom,England,Leicester,Jaques (2007),578
Mergentheim,May,1645,1640,1600,Herbsthausen,Germany,Thirty Years' War,Franco-Habsburg War,9.828538,49.404531,Germany,Baden-Wurttemberg,Stuttgart,Jaques (2007),655
Rosas,May,1645,1640,1600,Rosas,Spain,Thirty Years' War,Franco-Habsburg War,3.208099,42.26052,Spain,Cataluna,Girona,Jaques (2007),863
Borough Hill,June,1645,1640,1600,Kislingbury,England,British Wars of Religion,English Civil War,-0.97832,52.226684,United Kingdom,England,Northamptonshire,Jaques (2007),155
Naseby,June,1645,1640,1600,Naseby,England,British Wars of Religion,English Civil War,-0.9885334,52.3954519,United Kingdom,England,Northamptonshire,Jaques (2007),715
Alford,July,1645,1640,1600,Alford,England,British Wars of Religion,Scottish Civil War,0.183359,53.263271,United Kingdom,England,Lincolnshire,Jaques (2007),31
Bridgwater,July,1645,1640,1600,Bridgwater,England,British Wars of Religion,English Civil War,-3.003632,51.127889,United Kingdom,England,Somerset,Jaques (2007),165
Colby Moor,July,1645,1640,1600,Canaston Bridge,Wales,British Wars of Religion,English Civil War,-4.8042999,51.801575,United Kingdom,Wales,Pembrokeshire,Jaques (2007),252
Langport,July,1645,1640,1600,Langport,England,British Wars of Religion,English Civil War,-2.828719,51.038134,United Kingdom,England,Somerset,Jaques (2007),568
Scarborough Castle,July,1645,1640,1600,Scarborough,England,British Wars of Religion,English Civil War,-0.399752,54.283113,United Kingdom,England,North Yorkshire,Royle (2004),365
Bristol,August,1645,1640,1600,Bristol,England,British Wars of Religion,English Civil War,-2.58791,51.454513,United Kingdom,England,Bristol,Jaques (2007),166
Kilsyth,August,1645,1640,1600,Kilsyth,Scotland,British Wars of Religion,Scottish Civil War,-4.056933,55.979788,United Kingdom,Scotland,North Lanarkshire,Jaques (2007),532
Nordlingen,August,1645,1640,1600,Nordlingen,Germany,Thirty Years' War,Franco-Habsburg War,10.4894906,48.8508157,Germany,Bayern,Schwaben,Jaques (2007),737
Philiphaugh,September,1645,1640,1600,Selkirk,Scotland,British Wars of Religion,Scottish Civil War,-2.838524,55.550658,United Kingdom,Scotland,Scottish Borders,Jaques (2007),793
Rowton Heath,September,1645,1640,1600,Rowton,England,British Wars of Religion,English Civil War,-2.831632,53.172388,United Kingdom,England,Cheshire,Jaques (2007),867
Heilbronn,October,1645,1640,1600,Heilbronn,Germany,Thirty Years' War,NA,9.210879,49.1426929,Germany,Baden-Wurttemberg,Stuttgart,Wilson (2009),704
Hulst,October,1645,1640,1600,Hulst,Netherlands,Eighty Years' War,Netherlands War of Independence,4.0548869,51.2806907,Netherlands,Zeeland,Hulst,Jaques (2007),461
Annan Moor,NA,1645,1640,1600,Annan,Scotland,British Wars of Religion,Scottish Civil War,-3.259773,54.990246,United Kingdom,Scotland,Dumfries and Galloway,Royle (2004),xvi
Careston,NA,1645,1640,1600,Angus,Scotland,British Wars of Religion,Scottish Civil War,-2.9206818,56.7969965,United Kingdom,Scotland,Angus,Royle (2004),xvi
Strathdon,NA,1645,1640,1600,Strathdon,Scotland,British Wars of Religion,Scottish Civil War,-3.07456,57.199078,United Kingdom,Scotland,Aberdeenshire,Royle (2004),xvi
Youghal,NA,1645,1640,1600,Youghal,Ireland,British Wars of Religion,Irish Confederate Wars,-7.8471707,51.9542704,Ireland,Cork,NA,Siochrú (1999),31
Torrington,February,1646,1640,1600,Great Torrington,England,British Wars of Religion,English Civil War,-4.135998,50.9546459,United Kingdom,England,Devon,Jaques (2007),1027
Stow,March,1646,1640,1600,Stow-on-the-Wold,England,British Wars of Religion,English Civil War,-1.726444,51.931364,United Kingdom,England,Gloucestershire,Jaques (2007),972
Inverness,April,1646,1640,1600,Inverness,Scotland,British Wars of Religion,Scottish Civil War,-4.224721,57.477773,United Kingdom,Scotland,Highland,Jaques (2007),473
Benburb,June,1646,1640,1600,Benburb,Northern Ireland,British Wars of Religion,Irish Confederate Wars,-6.74394,54.41178,United Kingdom,Northern Ireland,Dungannon,Jaques (2007),129
Isola del Giglio,June,1646,1640,1600,Isola del Giglio,Italy,Thirty Years' War,Franco-Habsburg War,10.901604,42.353631,Italy,Toscana,Grosseto,Jaques (2007),477
Lerida,June,1646,1640,1600,Lleida,Spain,Thirty Years' War,Franco-Habsburg War,0.6200146,41.6175899,Spain,Cataluna,Lleida,Jaques (2007),581
Orbetello,June,1646,1640,1600,Orbetello,Italy,Thirty Years' War,Franco-Habsburg War,11.2124083,42.4396474,Italy,Toscana,Grosseto,Jaques (2007),755
Dunkirk,September,1646,1640,1600,Dunkirk,France,Thirty Years' War,Franco-Habsburg War,2.3767763,51.0343684,France,Nord-Pas-de-Calais,Nord,Jaques (2007),318
Porto Longone,September,1646,1640,1600,Porto Azzurro,Italy,Thirty Years' War,Franco-Habsburg War,10.3947803,42.7632329,Italy,Toscana,Livorno,Jaques (2007),812
Frankenberg,November,1646,1640,1600,Frankenberg,Germany,Thirty Years' War,NA,13.0404029,50.9090361,Germany,Sachsen,Chemnitz,Wilson (2009),713
Bunratty,NA,1646,1640,1600,Bunratty,Ireland,British Wars of Religion,Irish Confederate Wars,-8.8111283,52.698874,Ireland,Clare,NA,Siochrú (1999),31
Lagganmore,NA,1646,1640,1600,Stranraer,Scotland,British Wars of Religion,Scottish Civil War,-5.024055,54.903367,United Kingdom,Scotland,Dumfries and Galloway,Royle (2004),xvi
Uberlingen,January,1647,1640,1600,Uberlingen,Germany,Thirty Years' War,NA,9.1702772,47.7661746,Germany,Baden-Wurttemberg,Tubingen,Wilson (2009),714
Lerida,May,1647,1640,1600,Lleida,Spain,Thirty Years' War,Franco-Habsburg War,0.6200146,41.6175899,Spain,Cataluna,Lleida,Jaques (2007),581
Dungan Hill,August,1647,1640,1600,Summerhill,Ireland,British Wars of Religion,Irish Confederate Wars,-6.7325147,53.4813655,Ireland,Meath,NA,Jaques (2007),318
Knocknanuss,November,1647,1640,1600,Knocknanuss,Ireland,British Wars of Religion,Irish Confederate Wars,-8.8663731,51.6880388,Ireland,Cork,NA,Royle (2004),396
Liscarroll,NA,1647,1640,1600,Liscarroll,Ireland,British Wars of Religion,Irish Confederate Wars,-8.8041682,52.2600757,Ireland,Cork,NA,Royle (2004),xvii
Pembroke,May,1648,1640,1600,Pembroke,Wales,British Wars of Religion,English Civil War,-4.908637,51.674043,United Kingdom,Wales,Pembrokeshire,Jaques (2007),785
Rain (Lech),May,1648,1640,1600,Rain,Germany,Thirty Years' War,NA,10.9208893,48.6901541,Germany,Bayern,Schwaben,Wilson (2009),741
St. Fagan's,May,1648,1640,1600,Cardiff,Wales,British Wars of Religion,English Civil War,-3.17909,51.481581,United Kingdom,Wales,Cardiff,Jaques (2007),889
Zusmarshausen,May,1648,1640,1600,Zusmarshasen,Germany,Thirty Years' War,Franco-Habsburg War,10.5995405,48.3982617,Germany,Bayern,Schwaben,Jaques (2007),1137
Colchester,June,1648,1640,1600,Colchester,England,British Wars of Religion,English Civil War,0.891874,51.895927,United Kingdom,England,Essex,Jaques (2007),252
Maidstone,June,1648,1640,1600,Maidstone,England,British Wars of Religion,English Civil War,0.522699,51.270363,United Kingdom,England,Kent,Jaques (2007),617
Mauchline Muir,June,1648,1640,1600,Mauchline,Scotland,British Wars of Religion,Scottish Civil War,-4.3777549,55.515888,United Kingdom,Scotland,East Ayrshire,Royle (2004),458
Prague,June,1648,1640,1600,Prague,Czech Republic,Thirty Years' War,Franco-Habsburg War,14.4378005,50.0755381,Czech Republic,Prague,Praha 1,Jaques (2007),817
Trancheron,June,1648,1640,1600,Cremona,Italy,Thirty Years' War,Franco-Habsburg War,10.0226511,45.133249,Italy,Lombardia,Cremona,Jaques (2007),1031
Lens,August,1648,1640,1600,Lens,France,Thirty Years' War,Franco-Habsburg War,2.83183,50.42893,France,Nord-Pas-de-Calais,Pas-de-Calais,Jaques (2007),580
Preston,August,1648,1640,1600,Preston,England,British Wars of Religion,NA,-2.70309,53.763201,United Kingdom,England,Lancashire,Jaques (2007),818
Dachau,October,1648,1640,1600,Dachau,Germany,Thirty Years' War,NA,11.4339022,48.2629984,Germany,Bayern,Oberbayern,Wilson (2009),744
Balvenie,May,1649,1640,1600,Dufftown,Scotland,British Wars of Religion,Scottish Civil War,-3.12838,57.443623,United Kingdom,Scotland,Moray,Royle (2004),555
Rathmines,August,1649,1640,1600,Dublin,Ireland,British Wars of Religion,Irish Confederate Wars,-6.2603097,53.3498053,Ireland,Dublin,NA,Jaques (2007),842
Drogheda,September,1649,1640,1600,Drogheda,Ireland,British Wars of Religion,Irish Confederate Wars,-6.3560985,53.717856,Ireland,Louth,NA,Jaques (2007),314
Wexford,October,1649,1640,1600,Wexford,Ireland,British Wars of Religion,Irish Confederate Wars,-6.4633381,52.336916,Ireland,Wexford,NA,Jaques (2007),1101
Waterford,November,1649,1640,1600,Waterford,Ireland,British Wars of Religion,Irish Confederate Wars,-7.129167,52.256667,Ireland,Waterford,NA,Royle (2004),xvii
Londonderry,NA,1649,1640,1600,Londonderry,Northern Ireland,British Wars of Religion,Irish Confederate Wars,-7.3085748,54.9966124,United Kingdom,Northern Ireland,Derry,Siochrú (1999),31
Carbisdale,April,1650,1650,1600,Culrain,Scotland,British Wars of Religion,Scottish Civil War,-4.410573,57.918107,United Kingdom,Scotland,Highland,Royle (2004),563
Clonmel,April,1650,1650,1600,Clonmel,Ireland,British Wars of Religion,Irish Confederate Wars,-7.6902551,52.3558172,Ireland,Tipperary,NA,Jaques (2007),250
Macroom,May,1650,1650,1600,Macroom,Ireland,British Wars of Religion,Irish Confederate Wars,-8.9588478,51.9048039,Ireland,Cork,NA,Royle (2004),544
Scarrifholis,June,1650,1650,1600,Donegal,Ireland,British Wars of Religion,Irish Confederate Wars,-8.110546,54.6541972,Ireland,Donegal,NA,Royle (2004),650
Musselburgh,July,1650,1650,1600,Musselburgh,Scotland,British Wars of Religion,Scottish Civil War,-3.053918,55.941941,United Kingdom,Scotland,East Lothian,Royle (2004),576
Charlemont,August,1650,1650,1600,Armagh,Northern Ireland,British Wars of Religion,Irish Confederate Wars,-6.652792,54.3502798,United Kingdom,Northern Ireland,Armagh,Royle (2004),550
Dunbar,September,1650,1650,1600,Dunbar,Scotland,British Wars of Religion,Scottish Civil War,-2.516737,56.002087,United Kingdom,Scotland,East Lothian,Jaques (2007),317
Hamilton,November,1650,1650,1600,Hamilton,Scotland,British Wars of Religion,English Civil War,-4.053679,55.777633,United Kingdom,Scotland,South Lanarkshire,Royle (2004),590
Limerick,June,1651,1650,1600,Limerick,Ireland,British Wars of Religion,Irish Confederate Wars,-8.6304975,52.6680204,Ireland,Limerick,NA,Jaques (2007),587
Inverkeithing,July,1651,1650,1600,Inverkeithing,Scotland,British Wars of Religion,Scottish Civil War,-3.398795,56.030043,United Kingdom,Scotland,Fife,Jaques (2007),473
Alyth,August,1651,1650,1600,Alyth,Scotland,British Wars of Religion,Scottish Civil War,-3.226867,56.62578,United Kingdom,Scotland,Perthshire and Kinross,Royle (2004),608
Dundee,August,1651,1650,1600,Dundee,Scotland,British Wars of Religion,Scottish Civil War,-2.970721,56.462018,United Kingdom,Scotland,Dundee,Jaques (2007),317
Wigan,August,1651,1650,1600,Wigan,England,British Wars of Religion,English Civil War,-2.6325074,53.5450645,United Kingdom,England,Manchester,Jaques (2007),1104
Worcester,September,1651,1650,1600,Worcester,England,British Wars of Religion,English Civil War,-2.221575,52.193636,United Kingdom,England,Worcestershire,Jaques (2007),1110
Galway,NA,1652,1650,1600,Galway,Ireland,British Wars of Religion,Irish Confederate Wars,-9.0567905,53.270668,Ireland,Galway,NA,Siochrú (1999),31
Lochgarry (Dalnaspidal),July,1654,1650,1600,Invergarry,Scotland,British Wars of Religion,Scottish Civil War,-4.800261,57.070951,United Kingdom,Scotland,Highland,Jaques (2007),593
