country,decade,weather
England,1520.0,1.264376021461465
England,1530.0,0.037742567804819833
England,1540.0,0.2830692585361489
England,1550.0,0.5283959492674779
England,1560.0,-0.9435641951204964
England,1570.0,0.037742567804819833
England,1580.0,-0.9435641951204964
England,1590.0,-0.4529108136578383
England,1600.0,-1.6795442673144836
England,1610.0,1.264376021461465
England,1620.0,-0.9435641951204964
England,1630.0,-0.4529108136578383
England,1640.0,0.037742567804819833
England,1650.0,-1.4342175765831546
England,1660.0,-0.9435641951204964
England,1670.0,0.773722639998807
England,1680.0,0.2830692585361489
England,1690.0,-0.9435641951204964
England,1700.0,0.773722639998807
England,1710.0,0.2830692585361489
England,1720.0,-0.20758412292650924
England,1730.0,2.9816628565807686
England,1740.0,-0.20758412292650924
England,1750.0,0.773722639998807
England,1760.0,-0.6982375043891673
England,1770.0,0.5283959492674779
Estonia,1520.0,0.0071423178453394656
Estonia,1530.0,0.0071423178453394656
Estonia,1540.0,1.1213439017183
Estonia,1550.0,-0.5499584740911408
Estonia,1560.0,0.9356436377394732
Estonia,1570.0,0.5642431097818197
Estonia,1580.0,1.6784446936547803
Estonia,1590.0,0.5642431097818197
Estonia,1600.0,0.0071423178453394656
Estonia,1610.0,-0.364258210112314
Estonia,1620.0,0.5642431097818197
Estonia,1630.0,-0.364258210112314
Estonia,1640.0,-2.778361641837062
Estonia,1650.0,-1.6641600579641014
Estonia,1660.0,-0.7356587380699675
Estonia,1670.0,-1.6641600579641014
Estonia,1680.0,0.5642431097818197
Estonia,1690.0,0.0071423178453394656
Estonia,1700.0,0.0071423178453394656
Estonia,1710.0,0.5642431097818197
Estonia,1720.0,-0.5499584740911408
Estonia,1730.0,1.1213439017183
Estonia,1740.0,0.0071423178453394656
Estonia,1750.0,1.4927444296759536
Estonia,1760.0,-0.5499584740911408
Estonia,1770.0,0.0071423178453394656
Finland,1520.0,0.0071423178453394656
Finland,1530.0,0.0071423178453394656
Finland,1540.0,1.1213439017183
Finland,1550.0,-0.5499584740911408
Finland,1560.0,0.9356436377394732
Finland,1570.0,0.5642431097818197
Finland,1580.0,1.6784446936547803
Finland,1590.0,0.5642431097818197
Finland,1600.0,0.0071423178453394656
Finland,1610.0,-0.364258210112314
Finland,1620.0,0.5642431097818197
Finland,1630.0,-0.364258210112314
Finland,1640.0,-2.778361641837062
Finland,1650.0,-1.6641600579641014
Finland,1660.0,-0.7356587380699675
Finland,1670.0,-1.6641600579641014
Finland,1680.0,0.5642431097818197
Finland,1690.0,0.0071423178453394656
Finland,1700.0,0.0071423178453394656
Finland,1710.0,0.5642431097818197
Finland,1720.0,-0.5499584740911408
Finland,1730.0,1.1213439017183
Finland,1740.0,0.0071423178453394656
Finland,1750.0,1.4927444296759536
Finland,1760.0,-0.5499584740911408
Finland,1770.0,0.0071423178453394656
France,1520.0,-0.12286242687401873
France,1530.0,1.2016544677190615
France,1540.0,0.6562651581807344
France,1550.0,1.8249565357628639
France,1560.0,1.4353927432354874
France,1570.0,-1.2915538044561483
France,1580.0,-0.9019900119287718
France,1590.0,-0.5124262194013952
France,1600.0,-0.12286242687401873
France,1610.0,-0.04494966836854342
France,1620.0,0.11087584864240718
France,1630.0,1.0458289507081109
France,1640.0,-0.35660070239044467
France,1650.0,-0.5124262194013952
France,1660.0,0.812090675191685
France,1670.0,-1.0578155289397224
France,1680.0,0.812090675191685
France,1690.0,-2.8498089745656547
France,1700.0,-0.12286242687401873
France,1710.0,-0.35660070239044467
France,1720.0,1.0458289507081109
France,1730.0,-0.5124262194013952
France,1740.0,0.578352399675259
France,1750.0,-0.27868794388496937
France,1760.0,-0.9019900119287718
France,1770.0,0.42252688266430843
Germany,1520.0,2.7675936240866554
Germany,1530.0,1.614429614050549
Germany,1540.0,0.0
Germany,1550.0,-0.46126560401444255
Germany,1560.0,-0.46126560401444255
Germany,1570.0,0.0
Germany,1580.0,-0.9225312080288851
Germany,1590.0,-0.9225312080288851
Germany,1600.0,0.23063280200722128
Germany,1610.0,-0.46126560401444255
Germany,1620.0,-0.46126560401444255
Germany,1630.0,0.6918984060216639
Germany,1640.0,1.3837968120433277
Germany,1650.0,-1.3837968120433277
Germany,1660.0,-0.46126560401444255
Germany,1670.0,-1.1531640100361062
Germany,1680.0,-1.3837968120433277
Germany,1690.0,-0.9225312080288851
Germany,1700.0,0.46126560401444255
Germany,1710.0,0.46126560401444255
Germany,1720.0,0.0
Germany,1730.0,0.9225312080288851
Germany,1740.0,0.0
Germany,1750.0,-0.9225312080288851
Germany,1760.0,0.23063280200722128
Germany,1770.0,1.1531640100361062
Hungary,1520.0,0.6758309337565573
Hungary,1530.0,2.812917940500266
Hungary,1540.0,0.20092271003573334
Hungary,1550.0,1.3881932693377936
Hungary,1560.0,-0.2739855136850909
Hungary,1570.0,0.20092271003573334
Hungary,1580.0,-0.03653140182467865
Hungary,1590.0,0.43837682189614535
Hungary,1600.0,0.43837682189614535
Hungary,1610.0,-0.2739855136850909
Hungary,1620.0,-0.2739855136850909
Hungary,1630.0,-1.698710184847563
Hungary,1640.0,0.6758309337565573
Hungary,1650.0,-0.2739855136850909
Hungary,1660.0,-0.7488937374059149
Hungary,1670.0,0.20092271003573334
Hungary,1680.0,-0.03653140182467865
Hungary,1690.0,-1.936164296707975
Hungary,1700.0,-1.223801961126739
Hungary,1710.0,-1.223801961126739
Hungary,1720.0,1.3881932693377936
Hungary,1730.0,-0.2739855136850909
Hungary,1740.0,-0.9863478492663271
Hungary,1750.0,0.20092271003573334
Hungary,1760.0,0.43837682189614535
Hungary,1770.0,0.20092271003573334
Scotland,1520.0,1.264376021461465
Scotland,1530.0,0.037742567804819833
Scotland,1540.0,0.2830692585361489
Scotland,1550.0,0.5283959492674779
Scotland,1560.0,-0.9435641951204964
Scotland,1570.0,0.037742567804819833
Scotland,1580.0,-0.9435641951204964
Scotland,1590.0,-0.4529108136578383
Scotland,1600.0,-1.6795442673144836
Scotland,1610.0,1.264376021461465
Scotland,1620.0,-0.9435641951204964
Scotland,1630.0,-0.4529108136578383
Scotland,1640.0,0.037742567804819833
Scotland,1650.0,-1.4342175765831546
Scotland,1660.0,-0.9435641951204964
Scotland,1670.0,0.773722639998807
Scotland,1680.0,0.2830692585361489
Scotland,1690.0,-0.9435641951204964
Scotland,1700.0,0.773722639998807
Scotland,1710.0,0.2830692585361489
Scotland,1720.0,-0.20758412292650924
Scotland,1730.0,2.9816628565807686
Scotland,1740.0,-0.20758412292650924
Scotland,1750.0,0.773722639998807
Scotland,1760.0,-0.6982375043891673
Scotland,1770.0,0.5283959492674779
Switzerland,1520.0,-0.12286242687401873
Switzerland,1530.0,1.2016544677190615
Switzerland,1540.0,0.6562651581807344
Switzerland,1550.0,1.8249565357628639
Switzerland,1560.0,1.4353927432354874
Switzerland,1570.0,-1.2915538044561483
Switzerland,1580.0,-0.9019900119287718
Switzerland,1590.0,-0.5124262194013952
Switzerland,1600.0,-0.12286242687401873
Switzerland,1610.0,-0.04494966836854342
Switzerland,1620.0,0.11087584864240718
Switzerland,1630.0,1.0458289507081109
Switzerland,1640.0,-0.35660070239044467
Switzerland,1650.0,-0.5124262194013952
Switzerland,1660.0,0.812090675191685
Switzerland,1670.0,-1.0578155289397224
Switzerland,1680.0,0.812090675191685
Switzerland,1690.0,-2.8498089745656547
Switzerland,1700.0,-0.12286242687401873
Switzerland,1710.0,-0.35660070239044467
Switzerland,1720.0,1.0458289507081109
Switzerland,1730.0,-0.5124262194013952
Switzerland,1740.0,0.578352399675259
Switzerland,1750.0,-0.27868794388496937
Switzerland,1760.0,-0.9019900119287718
Switzerland,1770.0,0.42252688266430843
