year,Antwerp,Amsterdam,London,Oxford,Paris,Strasbourg,Florence,Milan,Naples,Valencia,Madrid,Augsburg,Leipzig,Munich,Vienna,Gdansk,Krakow,Warsaw,Lwow,Hamburg
1260,,,,,,,,,,,,,,,,,,,,
1261,,,,,,,,,,,,,,,,,,,,
1262,,,,,,,,,,,,,,,,,,,,
1263,,,,,,,,,,,,,,,,,,,,
1264,,,9.665435494,7.249076621,,,,,,,,,,,,,,,,
1265,,,8.857513838,6.643135378,,,,,,,,,,,,,,,,
1266,,,8.83548363,6.626612723,,,,,,,,,,,,,,,,
1267,,,9.032232003,6.774174002,,,,,,,,,,,,,,,,
1268,,,7.854925789,5.891194342,,,,,,,,,,,,,,,,
1269,,,8.178221333,6.133666,,,,,,,,,,,,,,,,
1270,,,7.667081595,5.750311196,,,,,,,,,,,,,,,,
1271,,,7.516634158,5.637475619,,,,,,,,,,,,,,,,
1272,,,8.015653637,6.011740228,,,,,,,,,,,,,,,,
1273,,,7.996397165,5.997297874,,,,,,,,,,,,,,,,
1274,,,7.414113752,5.560585314,,,,,,,,,,,,,,,,
1275,,,8.438860763,6.329145572,,,,,,,,,,,,,,,,
1276,,,7.73876524,5.80407393,,,,,,,,,,,,,,,,
1277,,,8.010022164,6.007516623,,,,,,,,,,,,,,,,
1278,,,8.464319324,6.348239493,,,,,,,,,,,,,,,,
1279,,,7.953910635,5.965432976,,,,,,,,,,,,,,,,
1280,,,8.155105093,6.11632882,,,,,,,,,,,,,,,,
1281,,,7.68529964,5.76397473,,,,,,,,,,,,,,,,
1282,,,7.543095118,5.657321338,,,,,,,,,,,,,,,,
1283,,,7.315633465,5.486725098,,,,,,,,,,,,,,,,
1284,,,8.240518609,6.180388957,,,,,,,,,,,,,,,,
1285,,,8.329589147,6.24719186,,,,,,,,,,,,,,,,
1286,,,8.456001628,6.342001221,,,,,,,,,,,,,,,,
1287,,,10.07040452,7.552803387,,,,,,,,,,,,,,,,
1288,,,9.48137383,7.111030372,,,,,,,,,,,,,,,,
1289,,,8.980954753,6.735716065,,,,,,,,,,,,,,,,
1290,,,7.097308326,5.322981245,,,,,,,,,,,,,,,,
1291,,,7.797381403,5.848036052,,,,,,,,,,,,,,,,
1292,,,7.708253182,5.781189886,,,,,,,,,,,,,,,,
1293,,,6.694370765,5.020778074,,,,,,,,,,,,,,,,
1294,,,6.24969323,4.687269923,,,,,,,,,,,,,,,,
1295,,,7.166662864,5.374997148,,,,,,,,,,,,,,,,
1296,,,8.246387932,6.184790949,,,,,,,,,,,,,,,,
1297,,,7.667723102,5.750792327,,,,,,,,,,,,,,,,
1298,,,7.792314189,5.844235642,,,,,,,,,,,,,,,,
1299,,,7.297292624,5.472969468,,,,,,,,,,,,,,,,
1300,,,7.921931586,5.941448689,,,,,,,,,,,,,,,,
1301,,,8.776110804,6.582083103,,,,,,,,,,,,,,,,
1302,,,8.557790603,6.418342953,,,,,,,,,,,,,,,,
1303,,,9.047676256,6.785757192,,,,,,,,,,,,,,,,
1304,,,8.228621555,6.171466166,,,,,,,,,,,,,,,,
1305,,,8.892736744,6.669552558,,,,,,,,,,,,,,,,
1306,,,9.558055131,7.168541348,,,,,,,,,,,,,,,,
1307,,,9.017131199,6.762848399,,,,,,,,,,,,,,,,
1308,,,7.802343933,5.85175795,,,,,,,,,,,,,,,,
1309,,,7.438742559,5.57905692,,,,,,,,,,,,,,,,
1310,,,7.918360618,5.938770463,,,,,,,,,,,,,,,,
1311,,,9.53148062,7.148610465,,,,,,,,,,,,,,,,
1312,,,9.65130128,7.23847596,,,,,,,,,,,,,,,,
1313,,,9.301498327,6.976123745,,,,,,,,,,,,,,,,
1314,,,8.001061563,6.000796172,,,,,,,,,,,,,,,,
1315,,,5.666348659,4.249761494,,,,,,,,,,,,,,,,
1316,,,5.655647764,4.241735823,,,,,,,,,,,,,,,,
1317,,,7.85937085,5.894528137,,,,,,,,,,,,,,,,
1318,,,9.600770694,7.200578021,,,,,,,,,,,,,,,,
1319,,,9.992692709,7.494519532,,,,,,,,,,,,,,,,
1320,,,9.054588321,6.790941241,,,,,,,,,,,,,,,,
1321,,,6.823691602,5.117768702,,,,,,,,,,,,,,,,
1322,,,7.373530274,5.530147705,,,,,,,,,,,,,,,,
1323,,,8.50583355,6.379375162,,,,,,,,,,,,,,,,
1324,,,8.730081007,6.547560755,,,,,,,,,,,,,,,,
1325,,,9.485904362,7.114428272,,,,,,,,,,,,,,,,
1326,,,10.91160403,8.183703026,,,9.83402977,9.83402977,,,,,,,,,,,,
1327,,,10.91803606,8.188527045,,,8.995401577,8.995401577,,,,,,,,,,,,
1328,,,9.319430264,6.989572698,,,8.077231085,8.077231085,,,,,,,,,,,,
1329,,,9.141456172,6.856092129,,,6.096411871,6.096411871,,,,,,,,,,,,
1330,,,8.143402188,6.107551641,,,6.393549439,6.393549439,,,,,,,,,,,,
1331,,,8.571220574,6.428415431,,,8.699805128,8.699805128,,,,,,,,,,,,
1332,,,10.27693078,7.707698088,,,9.634651674,9.634651674,,,,,,,,,,,,
1333,,,10.5671429,7.925357175,,,6.997169329,6.997169329,,,,,,,,,,,,
1334,,,10.58558187,7.939186399,,,6.62071145,6.62071145,,,,,,,,,,,,
1335,,,9.763657603,7.322743202,,,6.633668026,6.633668026,,,,,,,,,,,,
1336,,,10.1588454,7.619134049,,,6.70008036,6.70008036,,,,,,,,,,,,
1337,,,11.44681842,8.585113811,,,6.706778333,6.706778333,,,,,,,,,,,,
1338,,,10.89272258,8.169541935,,,6.742536056,6.742536056,,,,,,,,,,,,
1339,,,9.362044179,7.021533134,,,6.564122112,6.564122112,,,,,,,,,,,,
1340,,,10.76295145,8.072213585,,,5.634348343,5.634348343,,,,,,,,,,,,
1341,,,9.3489752,7.0117314,,,5.577242719,5.577242719,,,,,,,,,,,,
1342,,,9.183442468,6.887581851,,,5.769113329,5.769113329,,,,,,,,,,,,
1343,,,8.223012029,6.167259022,,,5.552413599,5.552413599,,,,,,,,,,,,
1344,,,8.947264609,6.710448456,,,5.434938602,5.434938602,,,,,,,,,,,,
1345,,,8.701999272,6.526499454,,,5.454455626,5.454455626,,,,,,,,,,,,
1346,,,7.213628663,5.410221497,,,5.425780871,5.425780871,,,,,,,,,,,,
1347,,,7.061821817,5.296366362,,,5.01251965,5.01251965,,,,,,,,,,,,
1348,,,8.39738742,6.298040565,,,5.173361412,5.173361412,,,,,,,,,,,,
1349,,,7.61294899,5.709711743,,,9.435843871,9.435843871,,,,,,,,,,,,
1350,,,6.325529519,4.744147139,,,11.76554822,11.76554822,,,,,,,,,,,,
1351,,,7.135884171,5.351913128,,,10.92238551,10.92238551,,,,,,,,,,,,
1352,,,7.88001206,5.910009045,,,10.86143905,10.86143905,,,,,,,,,,,,
1353,,,9.715387804,7.286540853,,,9.829308424,9.829308424,,,,,,,,,,,,
1354,,,9.283692179,6.962769134,,,10.05670737,10.05670737,,,,,,,,,,,,
1355,,,9.054509798,6.790882348,,,10.43754092,10.43754092,,,,,,,,,,,,
1356,,,8.545006089,6.408754567,,,10.50198438,10.50198438,,,,,,,,,,,,
1357,,,8.750101349,6.562576012,,,10.78420592,10.78420592,,,,,,,,,,,,
1358,,,9.39509482,7.046321115,,,11.09345201,11.09345201,,,,,,,,,,,,
1359,,,8.597654051,6.448240538,,,11.29667699,11.29667699,,,,,,,,,,,,
1360,,,8.435344044,6.326508033,,,10.78033554,10.78033554,,,,,,,,,,,,
1361,,,10.47910648,7.85932986,,,12.31196301,12.31196301,,,,,,,,,,,,
1362,,,9.790803991,7.343102993,,,12.96119519,12.96119519,,,,,,,,,,,,
1363,,,9.850452631,7.387839473,,,12.54067458,12.54067458,,,,,,,,,,,,
1364,,,10.19087969,7.643159764,,,12.18993505,12.18993505,,,,,,,,,,,,
1365,,,11.28753549,8.465651614,,,12.88130413,12.88130413,,,,,,,,,,,,
1366,,,10.53988515,7.904913865,,,12.61875051,12.61875051,,,,,,,,,,,,
1367,,,9.921651791,7.441238844,,,10.1778359,10.1778359,,,,,,,,,,,,
1368,,,10.30510529,7.728828966,,,8.942281485,8.942281485,,,,,,,,,,,,
1369,,,7.825072524,5.868804393,,,9.294490305,9.294490305,,,,,,,,,,,,
1370,,,8.789119939,6.591839954,,,7.479909192,7.479909192,,,,,,,,,,,,
1371,,,10.09533639,7.571502293,,,7.98440916,7.98440916,,,,,,,,,,,,
1372,,,10.03124286,7.523432142,,,10.6642427,,,,,,,,,,,,,
1373,,,10.8257293,8.119296974,,,11.49624549,,,,,,,,,,,,,
1374,,,9.993274334,7.494955751,,,6.602594496,,,,,,,,,,,,,
1375,,,10.18619586,7.639646896,,,4.94184611,,,,,,,,,,,,,
1376,,,11.5224434,8.641832547,,,9.030382453,,,,,,,,,,,,,
1377,,,12.80948446,9.607113349,,,10.29182431,,,,,,,,,,,,,
1378,,,12.83330367,9.624977752,,,10.13118166,,,,,,,,,,,,,
1379,,,11.21536249,8.41152187,,,11.52452638,,,,,,,,,,,,,
1380,,,10.94633292,8.209749689,,,12.52854356,,,,,,,,,,,,,
1381,,,11.15997819,8.369983642,,,9.061542552,,,,,,,,,,,,,
1382,,,11.00410716,8.253080367,,,9.349001684,,,,,,,,,,,,,
1383,,,11.03943564,8.279576731,,,8.166096454,,,,,,,,,,,,,
1384,,,10.82269498,8.117021238,,,7.691740907,,,,,,,,,,,,,
1385,,,11.043845,8.282883747,,,7.531607769,,,,,,,,,,,,,
1386,,,12.1140456,9.085534198,,,7.308098159,,,,,,,,,,,,,
1387,,,12.83935624,9.629517179,,,10.40407628,,,,,,,,,,,,,
1388,,,13.20523666,9.903927493,,,8.052773863,,,,,,,,,,,,,
1389,,,11.57793241,8.683449311,,,5.680312956,,,,,,,,,,,,,
1390,,,9.981989504,7.486492128,,,7.046966626,,,,,,,,,,,,,
1391,,,11.4788773,8.609157972,,,7.199297327,,,,,,,,,,,,,
1392,,,12.70965809,9.532243567,,,8.260823075,,,,,,,,,,,,,
1393,,,12.20456548,9.153424113,,,9.228182879,,,,,,,,,,,,,
1394,,,12.80692816,9.605196117,,,12.77579758,,,,,,,,,,,,,
1395,,,11.81493851,8.861203884,,9.185504773,10.14503041,,,,,,,,,,,,,
1396,,,10.89720621,8.17290466,,9.300574766,9.95446594,,,,,,,,,,,,,
1397,,,11.14011305,8.355084788,,9.477773656,7.869414632,,,,,,,,,,,,,
1398,,,11.53235183,8.649263874,,9.480483466,9.064708047,,,,,,,,,,,,,
1399,13.53095511,,11.52201393,8.641510444,,9.67891985,8.57008143,,,,,,,,,,,,,
1400,13.52919133,,10.13322032,7.599915244,,9.492924418,11.57998169,,,,,,,,,,,,,
1401,13.74035713,,10.36329364,7.772470234,,9.49599398,9.642951531,,,,,,,,,,,,,
1402,14.28183497,,10.70868345,8.031512588,,9.953488616,9.886487462,,,,,,,,,,,,,
1403,14.38292922,,13.19704068,9.897780511,,9.721775075,11.06934559,,,,,,,,,,,,,
1404,14.80847099,,13.10140565,9.826054238,,9.507483481,11.27875745,,,,,,,,,,,,,
1405,16.56160942,,13.89615672,10.42211754,,9.966112595,9.56559269,,,,,,,,,,,,,
1406,15.66594536,,12.92806413,9.6960481,,10.07462608,9.886487462,,,,,,,,,,,,,
1407,15.20418965,,12.5400865,9.405064875,,10.20312526,10.69254485,,,,,,,,,,,,,
1408,13.87333794,,10.84821303,8.136159774,,9.984368127,8.542204467,,,,,,,,,,,,,
1409,13.86794789,,10.50439743,7.878298071,,10.13596172,8.697986288,,,,,,,,,,11.19321333,,,
1410,14.2531861,,12.37201812,9.279013592,,10.26084364,9.990027135,,,,,,,,,,11.32946071,,,
1411,13.82086005,,12.77957633,9.584682246,,10.35231208,8.982487081,,,,,,,,,,9.712078775,,,
1412,11.03395964,,11.79952484,8.849643633,,10.35359434,11.08621431,,,,,,,,,,10.52462213,,,
1413,10.89235429,,12.99026515,9.742698864,,10.33125875,14.49892755,,,8.728236876,,,,,,,11.29485094,,,
1414,10.67999175,,12.88492071,9.663690534,,10.31592929,11.67019289,,,9.954658689,,,,,,,11.07709492,,,
1415,10.33697336,,12.05774269,9.043307016,,10.17788054,10.71656993,,,10.31325343,,,,,,,11.29787725,,,
1416,10.2521893,,11.39665643,8.54749232,,10.24642866,8.131734957,,,10.42304797,,,,,,,11.29787725,,,
1417,11.6855017,,12.93664751,9.70248563,,9.62392892,9.016448844,,,10.97813945,,,,,,,11.29787725,,,
1418,11.74115582,,12.428362,9.321271497,,10.41731964,10.81826809,,,10.59314639,,,,,,,11.29219681,,,
1419,12.57240262,,13.48321385,10.11241039,,10.74764943,9.140583221,,,10.54569204,,,,,,,11.66952557,,,
1420,11.90224621,,13.1370395,9.852779629,,10.46029406,6.631824051,,,10.09597462,,,,,,,10.62076158,,,
1421,11.68496654,,13.33867395,10.00400546,,9.000113666,8.120923886,,,9.312056329,,,,,,,10.26410031,,,
1422,11.56583049,,13.66161717,10.24621288,,9.169145935,12.1329235,,,9.582115967,,,,,,,10.26733418,,,
1423,11.59774191,,13.85318751,10.38989064,,9.098335993,10.79914196,,,10.22137482,,,,,,,10.2705701,,,
1424,11.52214149,,12.79481541,9.596111558,,9.172497665,14.17015235,,,10.37063565,,,,,,,10.27380805,,,
1425,11.65197543,,13.904631,10.42847325,,9.139196194,12.39202153,,,9.835349138,,,,,,,10.27704804,,,
1426,11.34418578,,14.24527601,10.68395701,,9.149099562,11.81473693,,,9.439388902,,,,,,,9.214741035,,,
1427,11.23797989,,14.00935056,10.50701292,,10.76643277,12.47505082,,,9.123654364,,,,10.58391632,,,10.70381659,,,
1428,11.11693369,,10.81065614,8.107992101,,10.36746183,14.97075851,,,9.972571447,,,,9.683637011,,,10.37330091,,,
1429,12.08682828,,10.90425803,8.178193519,,8.933632943,15.61702399,,,10.76555357,,,,9.683637011,,,10.54881903,,,
1430,9.301648799,,12.12920121,9.096900906,,9.173112342,13.20681739,,,9.392879665,,,,9.683637011,,,10.50336865,,,
1431,10.32162221,,12.75259621,9.564447156,7.102634683,9.48706794,8.588349934,,,9.615772679,,,,9.683637011,,,9.718798196,,,
1432,11.25166149,,11.46766031,8.600745232,7.670508287,9.782443922,7.627971778,,,8.957041779,,,,9.608660782,,,9.80618757,,,
1433,10.63707183,,12.12213887,9.091604151,4.996353148,9.715266571,11.51335256,,,9.505235442,,,,8.604875373,,,9.743998028,,,
1434,13.47485785,,12.5480211,9.411015828,8.105381626,9.716552741,11.99298744,,,9.970140461,,,,9.879619352,,,9.598785616,,,
1435,12.49481138,,12.64132139,9.480991041,8.7493552,9.617603119,10.59751214,,,8.432448593,,,,11.20367503,,,9.601837131,,,
1436,11.70160268,,12.50728084,9.380460629,10.63796974,9.610728182,8.05188989,,,8.964377949,,,,10.05022932,,,9.604890586,,,
1437,8.600529405,,10.67370081,8.005275608,5.802191019,9.868845195,10.23773152,,,9.316041453,,,,9.922039062,,,9.463764722,,,
1438,9.419163043,,8.777003447,6.582752585,4.697355832,9.251993305,11.35934424,,,9.227466292,,,,10.04667472,,,9.466730979,,,
